"ID","MESSAGE__C"
"a1M1N000005drSUUAY","a1U1N00000JEy34UAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 4c7773b1-c7ac-4de5-bb87-b3fc77161ff3 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drSjUAI","a1U1N00000JEy3cUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: f4f4a76e-5c53-404f-92bd-0ba1e04d7c69 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drUGUAY","a1U1N00000JEy3tUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 15da78b7-59a5-4af1-b0db-e0cee0d8fd09 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drVnUAI","a1U1N00000JEy56UAD-Upsert failed. First exception on row 0; first error: STRING_TOO_LONG, Notes: data value too large: February 20 2019  11:33 AM  HEISER, LAUREN LIFTED. EVALUATED: UNIVERSITY OF ALABAMA
<br>
<br>February 19 2019  10:15 AM  PETTERSON, CASSANDRA AEP, TRANSCRIPTS ENTERED: ALLAN HANCOCK COLLEGE, BUTTE COLLEGE, CA STATE UNIV,  CUESTA COLLEGE TRANSCRIPTS WAIVED: DESIGN SCHOOL TRANSCRIPTS NOT ENTERED: UNIV OF AL (max length=255): [Notes__c] 
 Class.SNHU_PersonRestriction_Parser.inboundParser: line 109, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drWvUAI","a1U1N00000JEy5jUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: fed8fa06-347b-4860-abc9-0c0ae5e79e5f not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drXAUAY","a1U1N00000JEy5UUAT-Upsert failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: [] 
 Class.SNHU_PersonInboundHandlers.PersonInbound.inboundParser: line 266, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drZ2UAI","Read timed out 
 Class.Callout.httpCallout: line 89, column 1
Class.CalloutHandlerWrapper.ExternalEducationCalloutHandler.createRequest: line 973, column 1
Class.SNHU_PersonQueueable.execute: line 16, column 1"
"a1M1N000005drZ6UAI","a1U1N00000JEy7PUAT-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: b454ea9a-c7e8-470a-b4bc-0ad8742945fa not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dra9UAA","a1U1N00000JEy84UAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: f579fcff-fbb8-48c0-91b7-5f75fd613a55 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drQZUAY","a1U1N00000JEy8qUAD-Upsert failed. First exception on row 0; first error: STRING_TOO_LONG, Notes: data value too large: February 20 2019  11:33 AM  HEISER, LAUREN LIFTED. EVALUATED: UNIVERSITY OF ALABAMA ( NO CREDIT )
<br>
<br>February 19 2019  10:15 AM  PETTERSON, CASSANDRA AEP, TRANSCRIPTS ENTERED: ALLAN HANCOCK COLLEGE, BUTTE COLLEGE, CA STATE UNIV,  CUESTA COLLEGE TRANSCRIPTS WAIVED: DESIGN SCHOOL TRANSCRIPTS NOT ENTERED: UNIV OF AL (max length=255): [Notes__c] 
 Class.SNHU_PersonRestriction_Parser.inboundParser: line 109, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005draxUAA","a1U1N00000JEy9pUAD-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 38a6f6ad-68ca-4d80-9c26-ffe1a0f50694 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.ARAccountholderParser.inboundParser: line 1553, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drbCUAQ","{""Message"":""On a post you can not define a GUID. Parameter name: admissionApplicationsDto"",""Conflicts"":null,""IsEmpty"":false}"
"a1M1N000005drbqUAA","a1U1N00000JEyABUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: f577920f-1954-47fa-8d08-a58e90abbf66 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dreVUAQ","a1U1N00000JEyCLUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.StudentCorrespondenceParser.inboundParser: line 2564, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dreaUAA","a1U1N00000JEyCPUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005dreuUAA","a1U1N00000JEyCRUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drekUAA","a1U1N00000JEyCOUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
"a1M1N000005drefUAA","a1U1N00000JEyCJUA1-Upsert failed. First exception on row 0; first error: INVALID_FIELD, Foreign key external ID: 1c98979e-6648-4d11-b72e-03130dd6a364 not found for field Ethos_Id__c in entity Contact: [] 
 Class.APEX2OBJECT_Parser.AwardDetailEntryParser.inboundParser: line 229, column 1
Class.SNHU_IntegrationUtil.inboundParserInterfaceReflectionProcessing: line 677, column 1
Class.SNHU_QueueablePayloadParser.execute: line 11, column 1"
